theme,branch,path,status,note
dalimeeting,dali,_includes/apa_copy_section.html,DIFFERS,
dalimeeting,dali,_includes/ris_copy_section.html,DIFFERS,
dalimeeting,dali,_includes/endnote_copy_section.html,DIFFERS,
dalimeeting,dali,_includes/bibtex_entry,DIFFERS,
dalimeeting,dali,_includes/apa_entry,DIFFERS,
dalimeeting,dali,_includes/ris_entry,DIFFERS,
dalimeeting,dali,_includes/endnote_entry,DIFFERS,
dalimeeting,dali,_includes/copy_buttons.html,DIFFERS,
dalimeeting,dali,_includes/hidden_copy_code.html,DIFFERS,
dalimeeting,dali,_includes/paper_google_scholar.html,DIFFERS,
dalimeeting,dali,_includes/paper_open_graph_meta.html,DIFFERS,
dalimeeting,dali,_includes/paper_twitter_meta.html,DIFFERS,
dalimeeting,dali,assets/bib/citeproc.yaml,DIFFERS,
rs-delve,main,_layouts/publication.html,MISSING,
rs-delve,main,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
rs-delve,main,_layouts/inproceedings.html,DIFFERS,
rs-delve,main,_layouts/techreport.html,DIFFERS,
rs-delve,main,_includes/paper_authors_abstract_links.html,MISSING,
rs-delve,main,_includes/paper_abstract.html,IDENTICAL,
rs-delve,main,_includes/cite-as.html,DIFFERS,
rs-delve,main,_includes/listpaper.html,DIFFERS,
rs-delve,main,_includes/listauthors.html,IDENTICAL,
rs-delve,main,_includes/seo-info.html,IDENTICAL,
rs-delve,main,_includes/extractinfo_publication.html,DIFFERS,
rs-delve,main,_includes/extractname.html,MISSING,
rs-delve,main,_includes/copy_sections.html,DIFFERS,
rs-delve,main,_includes/bibtex_copy_section.html,IDENTICAL,
rs-delve,main,_includes/apa_copy_section.html,IDENTICAL,
rs-delve,main,_includes/ris_copy_section.html,IDENTICAL,
rs-delve,main,_includes/endnote_copy_section.html,IDENTICAL,
rs-delve,main,_includes/bibtex_entry,IDENTICAL,
rs-delve,main,_includes/apa_entry,IDENTICAL,
rs-delve,main,_includes/ris_entry,IDENTICAL,
rs-delve,main,_includes/endnote_entry,IDENTICAL,
rs-delve,main,_includes/copy_buttons.html,IDENTICAL,
rs-delve,main,_includes/hidden_copy_code.html,DIFFERS,
rs-delve,main,_includes/paper_google_scholar.html,DIFFERS,
rs-delve,main,_includes/paper_open_graph_meta.html,DIFFERS,
rs-delve,main,_includes/paper_twitter_meta.html,DIFFERS,
rs-delve,main,assets/bib/citeproc.yaml,IDENTICAL,
